PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
38154514,Prevalence and Therapeutic Targeting of High-Level ERBB2 Amplification in NSCLC.,2024,"Bachert, Sara Emily; Zhang, Tom; Lockwood, William W; Ladanyi, Marc; Somwar, Romel","Department of Pathology and Laboratory Medicine, University of Kentucky, Lexington, Kentucky.; Department of Pathology and Laboratory Medicine, Memorial Sloan Kettering Cancer Center, New York, New York; School of Medicine, New York Medical College, Valhalla, New York.; Department of Pathology & Laboratory Medicine, University of British Columbia, Vancouver, BC, Canada.; Department of Pathology and Laboratory Medicine, Memorial Sloan Kettering Cancer Center, New York, New York; Department of Integrative Oncology, BC Cancer Research Institute, Vancouver, BC, Canada; Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, New York.; Department of Pathology and Laboratory Medicine, Memorial Sloan Kettering Cancer Center, New York, New York; Department of Integrative Oncology, BC Cancer Research Institute, Vancouver, BC, Canada; Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, New York.",lmsholl@bwh.harvard.edu.
38141488,Face to face among different chemo-immunotherapy combinations in the first line treatment of patients with advanced non-small cell lung cancer: Results of an international expert panel meeting by the italian association of thoracic oncology (AIOT).,2024,"Mok, Tony","Department of Clinical Oncology, Faculty of Medicine, State Key Laboratory in Oncology in South China, The Chinese University of Hong Kong, Hong Kong Special Administrative Region.",cgridelli@libero.it.
38110665,A phase Ib/II study of cadonilimab (PD-1/CTLA-4 bispecific antibody) plus anlotinib as first-line treatment in patients with advanced non-small cell lung cancer.,2024,"Duan, Huaxin; Li, Baiyong; Xia, Yu","Department of Oncology, Hunan Provincial People's Hospital /The First Affiliated Hospital of Hunan Normal University, Changsha, China.; Akeso Biopharma, Inc, Zhongshan, China.; Akeso Biopharma, Inc, Zhongshan, China.",wulin-calf@vip.163.com.
38105153,Association Between Lung Immune Prognostic Index and Durvalumab Consolidation Outcomes in Patients With Locally Advanced Non-Small-Cell Lung Cancer.,2024,"Albarrán-Artahona, Víctor; Reyes, Roxana; Mezquita, Laura","Medical Oncology Department, Department of Medicine, Hospital Clinic, Laboratory of Translational Genomics and Targeted Therapies in Solid Tumors, IDIBAPS, University of Barcelona, Barcelona, Spain.; Medical Oncology Department, Department of Medicine, Hospital Clinic, Laboratory of Translational Genomics and Targeted Therapies in Solid Tumors, IDIBAPS, University of Barcelona, Barcelona, Spain.; Medical Oncology Department, Department of Medicine, Hospital Clinic, Laboratory of Translational Genomics and Targeted Therapies in Solid Tumors, IDIBAPS, University of Barcelona, Barcelona, Spain. Electronic address: lmezquita@clinic.cat.",lmezquita@clinic.cat.
38104577,"Standard-of-care systemic therapy with or without stereotactic body radiotherapy in patients with oligoprogressive breast cancer or non-small-cell lung cancer (Consolidative Use of Radiotherapy to Block [CURB] oligoprogression): an open-label, randomised, controlled, phase 2 study.",2024/Jan/13,"Tsai, Chiaojung Jillian; Patel, Juber; Berger, Michael; Reis-Filho, Jorge S","Department of Radiation Oncology, Memorial Sloan Kettering Cancer Center, New York, NY, USA; Radiation Medicine Program, Princess Margaret Cancer Centre, University Health Network, Toronto, ON, Canada. Electronic address: jillian.tsai@uhn.ca.; Department of Pathology and Laboratory Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Department of Pathology and Laboratory Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Department of Pathology and Laboratory Medicine, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",jillian.tsai@uhn.ca.
38100106,Biomarker Testing in Patients With Unresectable Advanced or Recurrent Non-Small Cell Lung Cancer.,2023/Dec/01,"Nishimura, Kunihiro; Hiraoka, Manabu","Xcoo Inc, Tokyo, Japan.; Japan Medical Affairs, Japan Oncology Business Unit, Takeda Pharmaceutical Company Limited, Tokyo, Japan.",None
38096471,Treating Early and Often: Targeted Therapeutics in the Adjuvant Setting.,2023,"Ganesan, Shridar","Rutgers Cancer Institute of New Jersey, Department of Medicine and Pharmacology, Rutgers Robert Wood Johnson Medical School, Rutgers, The State University of New Jersey, New Brunswick, NJ.",None
38070301,Understanding health-related quality of life measures used in early-stage non-small cell lung cancer clinical trials: A review.,2024,"Leighl, Natasha B","Division of Medical Oncology/Hematology, Princess Margaret Cancer Centre, University of Toronto, Toronto, Ontario, Canada.",MMajem@santpau.cat.
38057314,Neoadjuvant nivolumab with or without platinum-doublet chemotherapy based on PD-L1 expression in resectable NSCLC (CTONG1804): a multicenter open-label phase II study.,2023/Dec/06,"Liu, Si-Yang; Dong, Song; Yang, Xue-Ning; Liao, Ri-Qiang; Jiang, Ben-Yuan; Ben, Xiao-Song; Qiao, Gui-Bin; Lin, Jun-Tao; Yan, Hong-Hong; Yan, Li-Xu; Nie, Qiang; Tu, Hai-Yan; Wang, Bin-Chao; Yang, Jin-Ji; Zhou, Qing; Li, Hong-Rui; Liu, Ke; Wu, Wendy; Zhong, Wen-Zhao; Wu, Yi-Long","Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Department of Thoracic Surgery, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Department of Thoracic Surgery, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Department of Pathology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China.; Fujian Key Laboratory of Advanced Technology for Cancer Screening and Early Diagnosis, Fuzhou, China.; Fujian Key Laboratory of Advanced Technology for Cancer Screening and Early Diagnosis, Fuzhou, China.; Fujian Key Laboratory of Advanced Technology for Cancer Screening and Early Diagnosis, Fuzhou, China.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China. syzhongwenzhao@scut.edu.cn.; Guangdong Lung Cancer Institute, Guangdong Provincial Key Laboratory of Translational Medicine in Lung Cancer, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, China. syylwu@live.cn.",syylwu@live.cn.
38049664,The role of APOBEC3B in lung tumor evolution and targeted cancer therapy resistance.,2024,"Caswell, Deborah R; Pich, Oriol; Bailey, Chris; Boumelha, Jesse; Bakker, Bjorn; De Dios Palomino Villcas, Juan; Dietzen, Michelle; Angelova, Mihaela; Humpton, Timothy J; Hill, William; Tomaschko, Mona; Lu, Wei-Ting; Al Bakir, Maise; Nagano, Ai; de Carné Trécesson, Sophie; Vendramin, Roberto; Barbè, Vittorio; Weeden, Clare E; Rowan, Andrew; McCoach, Caroline E; Moore, Chris; Przewrocka, Joanna; Black, James R M; Grönroos, Eva; Venkatesan, Subramanian; Roper, Nitin; Chew, Su Kit; Vousden, Karen H; Downward, Julian; Bivona, Trever G; Swanton, Charles","Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK. deborah.caswell@crick.ac.uk.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Oncogene Biology Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Core Research Laboratory, ISPRO, Florence, Italy.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; p53 and Metabolism Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Oncogene Biology Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Oncogene Biology Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Genentech Inc, South San Francisco, CA, USA.; Oncogene Biology Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; Developmental Therapeutics Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.; p53 and Metabolism Laboratory, The Francis Crick Institute, London, UK.; Oncogene Biology Laboratory, The Francis Crick Institute, London, UK.; Departments of Medicine and Cellular and Molecular Pharmacology, Helen Diller Family Comprehensive Cancer Center, University of California, San Francisco, San Francisco, CA, USA. trever.bivona@ucsf.edu.; Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, UK.",trever.bivona@ucsf.edu.
38035705,Circular RNA in Non-small Cell Lung Carcinoma: Identification of Targets and New Treatment Modalities.,2023,"Weidle, Ulrich H; Birzele, Fabian","Roche Pharma Research and Early Development, Roche Innovation Center Munich, Penzberg, Germany; weidle49@t-online.de.; Roche Pharma Research and Early Development, Pharmaceutical Sciences, Roche Innovation Center Basel, Basel, Switzerland fabian.birzele@roche.com.",fabian.birzele@roche.com.
38030303,"Phase I/Ib, open-label, multicenter, dose-escalation study of the anti-TGF-β monoclonal antibody, NIS793, in combination with spartalizumab in adult patients with advanced tumors.",2023/Nov/29,"Bauer, Todd M; Greil, Richard; Spreafico, Anna; Lu, Darlene; Cremasco, Viviana; Pelletier, Marc; Doi, Toshikiko","Sarah Cannon Research Institute, Nashville, Tennessee, USA.; Department of Internal Medicine III with Haematology, Medical Oncology, Haemostaseology, Infectiology and Rheumatology, Oncologic Center, Salzburg Cancer Research Institute - Laboratory for Immunological and Molecular Cancer Research (SCRI-LIMCR), Paracelsus Medical University Salzburg, Salzburg, Austria.; Department of Medicine, Division of Medical Oncology and Hematology, Princess Margaret Hospital Cancer Centre, Toronto, Ontario, Canada.; Novartis Institutes for BioMedical Research Inc, Cambridge, Massachusetts, USA.; Novartis Institutes for BioMedical Research Inc, Cambridge, Massachusetts, USA.; Novartis Institutes for BioMedical Research Inc, Cambridge, Massachusetts, USA.; Department of Experimental Therapeutics, National Cancer Center-Hospital East, Kashiwa, Chiba, Japan tdoi@east.ncc.go.jp.",tdoi@east.ncc.go.jp.
38025806,Real-world treatment patterns and survival outcomes for patients with stage III non-small cell lung cancer in Spain: a nationwide cohort study.,2023/Oct/31,"Camps, Carlos; Penrod, John; Vo, Lien","Molecular Oncology Laboratory, Valencia University General Hospital, Valencia, Spain.; Bristol Myers Squibb, Princeton, NJ, USA.; Bristol Myers Squibb, Princeton, NJ, USA.",None
38012986,Real-World Efficacy and Safety of Amivantamab for EGFR-Mutant NSCLC.,2024,"Wang, Kaiwen; Lewis, Whitney E","Division of Pharmacy, The University of Texas MD Anderson Cancer Center, Houston, Texas.; Division of Pharmacy, The University of Texas MD Anderson Cancer Center, Houston, Texas.",xle1@mdanderson.org.
38001689,C-Reactive Protein as an Early Predictor of Efficacy in Advanced Non-Small-Cell Lung Cancer Patients: A Tumor Dynamics-Biomarker Modeling Framework.,2023/Nov/15,"Nassar, Yomna M; Ojara, Francis Williams; Pérez-Pitarch, Alejandro; Geiger, Kimberly; Michelet, Robin; Holdenrieder, Stefan; Kloft, Charlotte","Department of Clinical Pharmacy and Biochemistry, Institute of Pharmacy, Freie Universität Berlin, 12169 Berlin, Germany.; Department of Clinical Pharmacy and Biochemistry, Institute of Pharmacy, Freie Universität Berlin, 12169 Berlin, Germany.; Translational Medicine & Clinical Pharmacology, Boehringer Ingelheim Pharma GmbH & Co. KG, 55216 Ingelheim am Rhein, Germany.; Institute of Laboratory Medicine, German Heart Centre Munich of the Free State of Bavaria, Technical University Munich, 80636 Munich, Germany.; Department of Clinical Pharmacy and Biochemistry, Institute of Pharmacy, Freie Universität Berlin, 12169 Berlin, Germany.; Institute of Laboratory Medicine, German Heart Centre Munich of the Free State of Bavaria, Technical University Munich, 80636 Munich, Germany.; Department of Clinical Pharmacy and Biochemistry, Institute of Pharmacy, Freie Universität Berlin, 12169 Berlin, Germany.",None
38001589,Amivantamab Compared with Real-World Physician's Choice after Platinum-Based Therapy from a Pan-European Chart Review of Patients with Lung Cancer and Activating ,2023/Nov/08,"Diels, Joris; Schioppa, Claudio A; Sermon, Jan; Rahhali, Nora; Adamczyk, Agnieszka; Penton, James","Janssen Pharmaceutica NV, 2340 Beerse, Belgium.; Janssen Pharmaceutica NV, 2340 Beerse, Belgium.; Janssen Pharmaceutica NV, 2340 Beerse, Belgium.; Janssen-Cilag Ltd., 92130 Issy-les-Moulineaux, France.; Janssen-Cilag Ltd., 28042 Madrid, Spain.; Janssen-Cilag Ltd., High Wycombe HP12 4EG, UK.",None
37992688,Aurora A kinase inhibition induces accumulation of SCLC tumor cells in mitosis with restored interferon signaling to increase response to PD-L1.,2023/Nov/21,"Poitras, Michael J; Springer, Benjamin F; Southard, Jackson; Li, Shuqiang; Gokhale, Prafulla C","Department of Medical Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02215, USA; Belfer Center for Applied Cancer Science, Dana-Farber Cancer Institute, Boston, MA 02215, USA; Experimental Therapeutics Core, Dana-Farber Cancer Institute, Boston, MA 02210, USA.; Department of Medical Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02215, USA; Belfer Center for Applied Cancer Science, Dana-Farber Cancer Institute, Boston, MA 02215, USA; Experimental Therapeutics Core, Dana-Farber Cancer Institute, Boston, MA 02210, USA.; Department of Medical Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02215, USA; Translational Immunogenomics Lab, Dana Farber Cancer Institute, Boston, MA, USA.; Department of Medical Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02215, USA; Translational Immunogenomics Lab, Dana Farber Cancer Institute, Boston, MA, USA.; Department of Medical Oncology, Dana-Farber Cancer Institute and Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02215, USA; Belfer Center for Applied Cancer Science, Dana-Farber Cancer Institute, Boston, MA 02215, USA; Experimental Therapeutics Core, Dana-Farber Cancer Institute, Boston, MA 02210, USA.",matthew_oser@dfci.harvard.edu.
37992595,"Patient-reported outcomes with durvalumab, with or without tremelimumab, plus chemotherapy as first-line treatment for metastatic non-small-cell lung cancer (POSEIDON).",2023,"Alatorre-Alexander, Jorge; Geater, Sarayut Lucien; Hussein, Maen; Araujo, Luiz Henrique; Johnson, Melissa","Health Pharma Professional Research, Mexico City, Mexico.; Prince of Songkla University, Songkhla, Thailand.; Florida Cancer Specialists - Sarah Cannon Research Institute, Leesburg, FL, USA.; Instituto Nacional de Cancer-INCA, Rio de Janeiro, Brazil.; Sarah Cannon Research Institute, Tennessee Oncology, PLLC, Nashville, TN, USA.",egaron@mednet.ucla.edu.
37981090,"Pan-Tumor Analytical Validation and Osimertinib Clinical Validation in EGFR Mutant Non-Small-Cell Lung Cancer, Supporting the First Next-Generation Sequencing Liquid Biopsy in Vitro Diagnostic.",2024,"Wu, Yi-Long","Guangdong Lung Cancer Institute, Guangdong Provincial Peoples Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",jodegaard@guardanthealth.com.
37979367,"Validated extended multiplexed LC-MS/MS assay for the quantification of adagrasib and sotorasib in human plasma, together with four additional SMIs.",2023/Dec/01,"Kruithof, Paul D; de Beer, Yvo M; Gulikers, Judith L; Stolk, Leo M L; Croes, Sander; van Geel, Robin M J M","Department of Clinical Pharmacy and Toxicology, Maastricht University Medical Center+, AZ, Maastricht, the Netherlands; CARIM School for Cardiovascular Disease, Maastricht University Medical Center+, MD, Maastricht, the Netherlands.; Department of Clinical Pharmacy and Toxicology, Maastricht University Medical Center+, AZ, Maastricht, the Netherlands.; Department of Clinical Pharmacy and Toxicology, Maastricht University Medical Center+, AZ, Maastricht, the Netherlands; CARIM School for Cardiovascular Disease, Maastricht University Medical Center+, MD, Maastricht, the Netherlands.; Department of Clinical Pharmacy and Toxicology, Maastricht University Medical Center+, AZ, Maastricht, the Netherlands.; Department of Clinical Pharmacy and Toxicology, Maastricht University Medical Center+, AZ, Maastricht, the Netherlands; CARIM School for Cardiovascular Disease, Maastricht University Medical Center+, MD, Maastricht, the Netherlands.; Department of Clinical Pharmacy and Toxicology, Maastricht University Medical Center+, AZ, Maastricht, the Netherlands; CARIM School for Cardiovascular Disease, Maastricht University Medical Center+, MD, Maastricht, the Netherlands. Electronic address: robin.van.geel@mumc.nl.",robin.van.geel@mumc.nl.
37968730,Baseline extracellular vesicle miRNA-30c and autophagic CTCs predict chemoradiotherapy resistance and outcomes in patients with lung cancer.,2023/Nov/15,"Expósito Hernández, Jose","Biomedical Research Institute IBS-Granada, Avda. de Madrid, 15, Granada, 18012, Spain.",mjose.serrano@genyo.es.
37966566,Clinical Characteristics of Patients with Advanced ALK-Translocated Non-small Cell Lung Cancers and Long-Term Responses to Crizotinib (CRIZOLONG GFPC 05-19 Study).,2023,"Dhamelincourt, Estelle","Institut de Cancérologie, Hôpital Morvan, CHU de Brest, Brest, France. Estelle.dhamelincourt@chu-brest.fr.",Estelle.dhamelincourt@chu-brest.fr.
37951954,Dostarlimab or pembrolizumab plus chemotherapy in previously untreated metastatic non-squamous non-small cell lung cancer: the randomized PERLA phase II trial.,2023/Nov/11,"Schenker, Michael","Sf Nectarie Oncology Center, 23 Strada Caracal, Craiova, Județul Dolj, Romania, and the University of Medicine and Pharmacy, Craiova, Romania.",LIMLOVE2008@yuhs.ac.
